ObjectID,GlobalID,Informed Consent,start_time,end_time,What gender do you identify as?,Which category below includes your age?,How long does a football match take?,Which team won the last FIFA World Cup?,"From the image above, what is the lineup of the teams?",What is the formation of the red team?,"When the blue team has possession of the ball, how would you describe the positioning of the defenders from the red team?",What was the role of player #2 in the red team?,"Ideally, a defender should be positioned between the goal and the attacker. Based on your observations, the player #2 from the red team is:",What is the formation of the red team?,When does a team cover a larger area of the pitch?,In what situations do a team's players get close to each other?,What is the formation of the red team?,When does a team cover a larger area of the pitch?,What is the formation of the red team?,"When the blue team has possession of the ball, how would you describe the positioning of the defenders from the red team?",What was the role of player #2 in the red team?,"Ideally, a defender should be positioned between the goal and the attacker. Based on your observations, the player #2 from the red team is:",What is the formation of the red team?,When does a team cover a larger area of the pitch?,In what situations do a team's players get close to each other?,What is the formation of the red team?,When does a team cover a larger area of the pitch?,CreationDate,Creator,EditDate,Editor,x,y
1,a9852286-fe68-4dc4-8b38-5ce75b10f8d9,Yes,7/28/2023 9:17:17 AM,7/28/2023 9:23:00 AM,Male,36-40,g1_a,g2_b,g3_a,b,c,a,a,c,b,b,a,a,b,a,a,a,d,c,c,d,c,7/28/2023 9:23:01 AM,,7/28/2023 9:23:01 AM,,0,0
2,773ff80f-1d0c-41a8-88f8-87ca7fedcd83,Yes,7/28/2023 9:22:42 AM,7/28/2023 9:38:40 AM,Female,18-20,g1_a,g2_b,g3_c,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,7/28/2023 9:38:41 AM,,7/28/2023 9:38:41 AM,,0,0
3,6887c72b-af62-4e7c-819f-56ba0f1e1e0a,Yes,7/28/2023 9:33:59 AM,7/28/2023 9:39:26 AM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,b,a,a,b,a,a,a,c,b,b,a,a,7/28/2023 9:39:27 AM,,7/28/2023 9:39:27 AM,,0,0
4,786b1e44-fba2-471b-8353-2181ef0b06af,Yes,7/28/2023 9:30:41 AM,7/28/2023 9:39:58 AM,Male,21-25,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,a,a,a,a,7/28/2023 9:39:59 AM,,7/28/2023 9:39:59 AM,,0,0
5,00c39acf-57ba-4e9e-8f8c-924881e99e2f,Yes,7/28/2023 9:18:52 AM,7/28/2023 9:42:36 AM,Male,18-20,g1_a,g2_a,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,b,a,a,7/28/2023 9:42:36 AM,,7/28/2023 9:42:36 AM,,0,0
6,b80fe36c-a0c8-4802-8214-66d9c29f438c,Yes,7/28/2023 9:46:35 AM,7/28/2023 9:56:13 AM,Female,21-25,g1_a,g2_b,g3_a,b,d,a,d,c,b,a,a,a,b,b,a,d,c,b,a,d,a,7/28/2023 9:56:14 AM,,7/28/2023 9:56:14 AM,,0,0
7,9b38d517-35e3-4d8c-867c-8031b611ac6b,Yes,7/28/2023 9:55:24 AM,7/28/2023 10:02:07 AM,Female,21-25,g1_a,g2_b,g3_c,d,c,a,a,d,b,a,d,a,d,c,a,a,d,b,a,d,a,7/28/2023 10:02:07 AM,,7/28/2023 10:02:07 AM,,0,0
8,ed9ea22f-0910-47e2-82e6-a0ac4eef51ea,Yes,7/28/2023 10:25:33 AM,7/28/2023 11:05:52 AM,Female,31-35,g1_c,g2_c,g3_c,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,b,b,a,7/28/2023 11:05:52 AM,,7/28/2023 11:05:52 AM,,0,0
9,c8d7b079-fc18-43a1-8a2d-28dd2e28f710,Yes,7/28/2023 11:10:23 AM,7/28/2023 11:14:55 AM,Male,21-25,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,7/28/2023 11:14:57 AM,,7/28/2023 11:14:57 AM,,0,0
10,ea554ade-f148-477d-8bbe-786e3c1312ee,Yes,7/28/2023 12:26:50 PM,7/28/2023 12:46:41 PM,Female,21-25,g1_a,g2_b,g3_a,a,a,a,a,d,b,a,c,a,c,a,a,a,c,b,a,a,a,7/28/2023 12:46:42 PM,,7/28/2023 12:46:42 PM,,0,0
